EXPORTACIONES/IMPORTACIONES,STATE ID,AÑO,ESTADO,VALOR,PORCENTAJE
Importaciones,9,2022,Ciudad de México,211388196,0.231171575
Importaciones,11,2022,Guanajuato,19493810,0.021318195
Importaciones,14,2022,Jalisco,54523149,0.059625856
Importaciones,15,2022,Estado de México,46715988,0.05108804
Importaciones,19,2022,Nuevo León,14476295,0.015831101
Importaciones,22,2022,Querétaro,2609019,0.002853192
Importaciones,23,2022,Quintana Roo,49665053,0.054313101
Importaciones,25,2022,Sinaloa,71827323,0.078549492
Importaciones,26,2022,Sonora,994253,0.001087303
Importaciones,28,2022,Tamaulipas,97299371,0.106405416
Importaciones,31,2022,Yucatán,4012682,0.004388221
Importaciones,2,2021,Baja California,66118195,0.092438123
Importaciones,3,2021,Baja California Sur,31625073,0.044214189
Importaciones,6,2021,Colima,173198105,0.24214375
Importaciones,8,2021,Chihuahua,19862233,0.02776887
Importaciones,9,2021,Ciudad de México,160704650,0.224676977
Importaciones,11,2021,Guanajuato,5329503,0.007451039
Importaciones,14,2021,Jalisco,33769784,0.047212654
Importaciones,15,2021,Estado de México,33643518,0.047036124
Importaciones,19,2021,Nuevo León,13148596,0.018382709
Importaciones,22,2021,Querétaro,1672915,0.002338859
Importaciones,23,2021,Quintana Roo,32777800,0.045825787
Importaciones,25,2021,Sinaloa,58847025,0.08227249
Importaciones,26,2021,Sonora,834796,0.001167106
Importaciones,28,2021,Tamaulipas,80108645,0.111997806
Importaciones,31,2021,Yucatán,3628935,0.005073519
Importaciones,2,2020,Baja California,42820729,0.08989018
Importaciones,3,2020,Baja California Sur,11987977,0.025165415
Importaciones,6,2020,Colima,93090872,0.195418328
Importaciones,8,2020,Chihuahua,18197719,0.038201037
Importaciones,9,2020,Ciudad de México,121002738,0.254011508
Importaciones,11,2020,Guanajuato,5231344,0.010981748
Importaciones,14,2020,Jalisco,23478434,0.049286425
Importaciones,15,2020,Estado de México,28005655,0.058790064
Importaciones,19,2020,Nuevo León,10889936,0.022860384
Importaciones,23,2020,Quintana Roo,31093213,0.065271531
Importaciones,25,2020,Sinaloa,34955384,0.073379082
Importaciones,28,2020,Tamaulipas,54880705,0.115206737
Importaciones,31,2020,Yucatán,732444,0.001537562
Importaciones,2,2019,Baja California,55275373,0.093180406
Importaciones,3,2019,Baja California Sur,31488022,0.053080902
Importaciones,6,2019,Colima,72536059,0.122277591
Importaciones,8,2019,Chihuahua,35998019,0.060683625
Importaciones,9,2019,Ciudad de México,150072108,0.25298391
Importaciones,11,2019,Guanajuato,7780409,0.013115817
Importaciones,14,2019,Jalisco,31761698,0.053542251
Importaciones,15,2019,Estado de México,30067820,0.050686798
Importaciones,19,2019,Nuevo León,14031050,0.023652829
Importaciones,21,2019,Puebla,329232,0.000555003
Importaciones,22,2019,Querétaro,1310892,0.002209835
Importaciones,23,2019,Quintana Roo,47156134,0.079493407
Importaciones,25,2019,Sinaloa,50855757,0.085730043
Importaciones,26,2019,Sonora,633569,0.001068038
Importaciones,28,2019,Tamaulipas,62084837,0.104659453
Importaciones,30,2019,Veracruz de Ignacio de la Llave,754640,0.001272134
Importaciones,31,2019,Yucatán,1072495,0.001807957
Importaciones,2,2018,Baja California,54149562,0.078952815
